,Title,Release Year,Locations,Director,Actor 1
667,Edtv,1999,North Beach Video (1398 Grant Avenue at Green),Ron Howard,Matthew McConaughey
668,The Bachelor,1999,Nina M. Designs (52 2nd Street at Jessie),Gary Sinyor,Chris O'Donnell
669,The Bachelor,1999,Sutter-Stockton Garage (330 Sutter Street at Stockton),Gary Sinyor,Chris O'Donnell
670,Stigmata,1999,19th and Kansas St.,Rupert Wainwright,Patricia Arquette
671,The Matrix,1999,skyline/ exterior scenes,The Wachowski Brothers,Keanu Reeves
672,The Bachelor,1999,Pacific Stock Exchange (301 Pine Street at Sansome),Gary Sinyor,Chris O'Donnell
673,The Bachelor,1999,Columbus Avenue at Green & Stockton,Gary Sinyor,Chris O'Donnell
674,Edtv,1999,"Castro Theatre (429 Castro Street, The Castro)",Ron Howard,Matthew McConaughey
675,The Bachelor,1999,Danilo's Bakery (Green Street & Bannam Place),Gary Sinyor,Chris O'Donnell
676,Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),Chris Columbus,Robin Williams
677,Bicentennial Man,1999,City Hall,Chris Columbus,Robin Williams
678,The Other Sister,1999,Transbay Terminal (Mission Street at 1st Street),Garry Marshall,Juliette Lewis
679,The Bachelor,1999,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Gary Sinyor,Chris O'Donnell
680,Bicentennial Man,1999,Treasure Island,Chris Columbus,Robin Williams
681,The Bachelor,1999,Mama's Restaurant (1701 Stockton),Gary Sinyor,Chris O'Donnell
682,Bedazzled,2000,Montgomery & Market Streets,Harold Ramis,Brendan Fraser
683,Boys and Girls,2000,Coit Tower,Robert Iscove,"Freddie Prinze, Jr."
684,Romeo Must Die,2000,Chinatown,Andrzej Bartkowiak,Jet Li
685,Boys and Girls,2000,City Hall,Robert Iscove,"Freddie Prinze, Jr."
686,Woman on Top,2000,312 Fillmore Street,Fina Torres,Penelope Cruz
687,Boys and Girls,2000,Lombard Street,Robert Iscove,"Freddie Prinze, Jr."
688,Boys and Girls,2000,Aquatic Park (Jefferson Street),Robert Iscove,"Freddie Prinze, Jr."
689,Playing Mona Lisa,2000,Conservatory of Flowers (Golden Gate Park),Matthew Huffman,Alicia Witt
690,Boys and Girls,2000,1122 Folsom Street,Robert Iscove,"Freddie Prinze, Jr."
691,Romeo Must Die,2000,Embarcadero Street,Andrzej Bartkowiak,Jet Li
